,XLI US Equity,XLK US Equity,XLV US Equity,FXU US Equity,XTN US Equity,FXN US Equity,PSCC US Equity,ENFR US Equity,BIZD US Equity,DBB US Equity,SHY US Equity
24/4/2020 21:30,60.89,86.66,99,25.83,44.3133,5.505,65.71,12.75,9.74,12.41,86.6463
24/4/2020 22:00,60.89,87.09,99.21,25.84,44.2983,5.38,65.71,12.38,9.74,12.38,86.65
24/4/2020 22:30,60.85,87.12,99.23,25.84,44.4561,5.412,65.71,12.5701,9.84,12.4,86.645
24/4/2020 23:00,60.73,87.11,99.08,25.83,44.2957,5.34,65.71,12.3784,9.7101,12.41,86.645
24/4/2020 23:30,60.72,87.31,99.162,25.79,44.46,5.3358,65.71,12.4,9.78,12.43,86.64
25/4/2020 0:00,60.77,87.68,99.437,25.83,44.41,5.2947,65.71,12.4,9.7346,12.435,86.66
25/4/2020 0:30,60.92,87.765,99.42,25.925,44.47,5.3265,65.71,12.4,9.78,12.43,86.66
25/4/2020 1:00,60.91,87.627,99.41,26.01,44.63,5.31,65.71,12.4599,9.85,12.465,86.65
25/4/2020 1:30,61.21,88.05,99.84,26.07,44.85,5.3911,65.71,12.4599,9.88,12.48,86.657
25/4/2020 2:00,61.28,87.997,99.9,26.06,44.975,5.41,65.71,12.4599,9.96,12.46,86.6582
25/4/2020 2:30,61.455,88.07,100,26.19,45.1195,5.4258,65.71,12.592,10.02,12.47,86.645
25/4/2020 3:00,61.62,88.36,100.185,26.28,45.3,5.51,65.71,12.5444,10.065,12.46,86.65
25/4/2020 3:30,61.57,88.63,100.29,26.23,45.25,5.46,65.71,12.58,10.01,12.45,86.63
25/4/2020 4:00,61.57,88.63,100.29,26.23,45.2505,5.4478,65.8946,12.5282,10.01,12.45,86.63
27/4/2020 21:30,62.19,89.55,100.98,26.5,45.905,5.25,66.795,12.4,10.3,12.4765,86.605
27/4/2020 22:00,62.43,89.4,101.05,26.58,46.15,5.29,67.0799,12.4,10.3911,12.4765,86.605
27/4/2020 22:30,62.46,88.96,100.99,26.72,46.354,5.37,67.0799,12.45,10.441,12.4765,86.61
27/4/2020 23:00,62.57,89.46,101.295,26.64,46.4,5.3542,67.0799,12.5341,10.55,12.4765,86.61
27/4/2020 23:30,62.82,89.41,101.41,26.82,46.5758,5.3938,67.0799,12.6,10.6,12.4765,86.625
28/4/2020 0:00,62.79,89.22,101.43,26.827,46.5701,5.43,67.0799,12.6,10.67,12.511,86.625
28/4/2020 0:30,63.02,89.3,101.41,26.85,46.8314,5.48,67.2799,12.61,10.71,12.4801,86.6296
28/4/2020 1:00,62.935,89.07,101.315,26.75,46.6725,5.4531,67.2799,12.604,10.64,12.485,86.63
28/4/2020 1:30,63.03,89.076,101.38,26.7784,46.988,5.48,67.3699,12.604,10.65,12.485,86.635
28/4/2020 2:00,63.17,89.16,101.52,26.79,47.0857,5.51,67.3699,12.6237,10.64,12.485,86.63
28/4/2020 2:30,63.34,89.34,101.68,26.86,47.1905,5.55,67.3699,12.6237,10.62,12.475,86.63
28/4/2020 3:00,63.345,89.375,101.785,26.865,47.2142,5.58,67.3699,12.6915,10.66,12.518,86.62
28/4/2020 3:30,63.12,89.39,101.58,26.82,46.85,5.55,67.9167,12.69,10.53,12.51,86.63
28/4/2020 4:00,63.1,89.39,101.58,26.82,46.85,5.55,67.8758,12.69,10.53,12.51,86.63
28/4/2020 21:30,64.63,90.02,100.48,27.54,48.2146,5.76,67.8758,13.0814,10.84,12.6,86.65
28/4/2020 22:00,64.71,89.5,100.04,27.39,47.8574,5.72,68.85,13.0814,10.7701,12.5899,86.66
28/4/2020 22:30,63.68,88.57,99.52,27.06,47.11,5.5904,68.85,12.94,10.49,12.5309,86.6501
28/4/2020 23:00,64.01,88.91,100.005,27.14,47.486,5.63,68.85,12.865,10.54,12.57,86.6516
28/4/2020 23:30,64.04,88.82,99.83,27.0099,47.65,5.67,68.7932,12.865,10.59,12.57,86.665
29/4/2020 0:00,64.04,88.6,99.83,26.9112,47.625,5.67,68.5,12.865,10.5145,12.61,86.6741
29/4/2020 0:30,64.2801,88.948,100.17,27.0035,47.93,5.7,68.5,12.865,10.5001,12.5899,86.6666
29/4/2020 1:00,64.325,88.94,100.13,27.02,47.95,5.73,68.5,12.865,10.515,12.59,86.65
29/4/2020 1:30,64.37,89.03,100.28,27.01,47.9787,5.7283,68.5,12.865,10.49,12.59,86.65
29/4/2020 2:00,64.72,89.17,100.25,27.08,48.2349,5.77,69.6229,12.865,10.475,12.59,86.6568
29/4/2020 2:30,64.48,88.86,100.12,27.08,48.0775,5.76,69.75,13.0899,10.52,12.57,86.65
29/4/2020 3:00,64.58,88.87,100.1,27.131,48,5.7761,69.352,13.03,10.461,12.57,86.65
29/4/2020 3:30,64.28,88.2,99.53,27,47.82,5.76,69.4891,13.0861,10.365,12.53,86.66
