,XLI US Equity,XLK US Equity,XLV US Equity,FXU US Equity,XTN US Equity,FXN US Equity,PSCC US Equity,ENFR US Equity,BIZD US Equity,DBB US Equity,SHY US Equity,UNP US Equity,UPS US Equity,CSX US Equity,FDX US Equity,NSC US Equity,LUV US Equity,DAL US Equity,ODFL US Equity,KSU US Equity,EXPD US Equity,CHRW US Equity,JBHT US Equity,UAL US Equity,AAL US Equity,ALK US Equity
24/4/2020 21:30,60.89,86.66,99,25.83,44.3133,5.505,65.71,12.75,9.74,12.41,86.6463,154.47,99.067,61.52,120.9,155.46,29.63,22.325,138.545,127.09,70.11,70.8,100.38,25.68,10.2386,28.215
24/4/2020 22:00,60.89,87.09,99.21,25.84,44.2983,5.38,65.71,12.38,9.74,12.38,86.65,154.25,98.73,61.935,120.296,156.355,29.25,22.06,138.96,128.835,70.32,70.87,101.09,25.12,10.16,27.73
24/4/2020 22:30,60.85,87.12,99.23,25.84,44.4561,5.412,65.71,12.5701,9.84,12.4,86.645,154.83,98.93,62.095,120.21,156.44,29.3,22.15,139,129.1,70.48,70.7,101.4,25.085,10.147,27.775
24/4/2020 23:00,60.73,87.11,99.08,25.83,44.2957,5.34,65.71,12.3784,9.7101,12.41,86.645,153.945,99.02,62.15,120.34,156.73,29.105,22.11,138.81,129.38,70.92,71.25,101.23,24.9517,10.075,27.52
24/4/2020 23:30,60.72,87.31,99.162,25.79,44.46,5.3358,65.71,12.4,9.78,12.43,86.64,153.81,99.15,62.35,119.82,156.99,28.9795,21.91,138.785,129.74,70.945,71.25,101.1,24.91,10.005,27.525
25/4/2020 0:00,60.77,87.68,99.437,25.83,44.41,5.2947,65.71,12.4,9.7346,12.435,86.66,153.94,99.105,62.74,120.14,157.31,29.0602,21.8816,139.811,130.64,71.015,71.22,101.24,24.905,9.975,27.3927
25/4/2020 0:30,60.92,87.765,99.42,25.925,44.47,5.3265,65.71,12.4,9.78,12.43,86.66,153.94,99.15,62.86,120.36,158,29.3388,22.24,139.65,130.88,70.8594,71.31,101.01,25.38,10.19,27.665
25/4/2020 1:00,60.91,87.627,99.41,26.01,44.63,5.31,65.71,12.4599,9.85,12.465,86.65,153.69,99.25,62.79,120.41,158.12,29.07,22.14,140.49,130.59,70.885,71.24,101.03,25.34,10.2,27.61
25/4/2020 1:30,61.21,88.05,99.84,26.07,44.85,5.3911,65.71,12.4599,9.88,12.48,86.657,154.175,99.225,62.86,120.61,158.1,29.465,22.3,140.655,131.23,71.08,71.33,101.09,25.56,10.335,27.97
25/4/2020 2:00,61.28,87.997,99.9,26.06,44.975,5.41,65.71,12.4599,9.96,12.46,86.6582,154.4,99.42,63.07,120.57,158.77,29.3,22.33,141.07,131.05,71.2,71.33,101.77,25.63,10.3401,28.11
25/4/2020 2:30,61.455,88.07,100,26.19,45.1195,5.4258,65.71,12.592,10.02,12.47,86.645,154.96,99.31,63.24,120.83,159.61,29.39,22.465,141.04,131.3,71.26,71.6,101.61,25.835,10.4486,28.28
25/4/2020 3:00,61.62,88.36,100.185,26.28,45.3,5.51,65.71,12.5444,10.065,12.46,86.65,155.36,99.86,63.59,121.9,160.005,29.39,22.405,140.725,131.33,71.77,71.785,101.46,25.7453,10.44,28.29
25/4/2020 3:30,61.57,88.63,100.29,26.23,45.25,5.46,65.71,12.58,10.01,12.45,86.63,156.09,100.15,63.82,123.06,160.67,29.33,22.41,141.63,131.42,71.93,72.28,101.6,25.56,10.31,28.01
25/4/2020 4:00,61.57,88.63,100.29,26.23,45.2505,5.4478,65.8946,12.5282,10.01,12.45,86.63,156.09,100.18,63.82,123.06,160.68,29.33,22.41,141.63,131.41,71.93,72.28,101.6,25.56,10.31,28.01
27/4/2020 21:30,62.19,89.55,100.98,26.5,45.905,5.25,66.795,12.4,10.3,12.4765,86.605,159.48,100.35,65.5602,123.011,163.49,29.09,22.63,142.77,133.57,72.26,72.74,102.81,25.2881,10.2101,28.22
27/4/2020 22:00,62.43,89.4,101.05,26.58,46.15,5.29,67.0799,12.4,10.3911,12.4765,86.605,159.14,100.565,65.53,123.44,163.375,29.09,22.8621,142.46,133.01,72.005,73.09,102.585,25.44,10.25,28.5
27/4/2020 22:30,62.46,88.96,100.99,26.72,46.354,5.37,67.0799,12.45,10.441,12.4765,86.61,159.19,101.075,65.345,124.62,163.39,29.3585,23.205,141.86,130.74,71.975,72.93,102.42,25.675,10.27,28.92
27/4/2020 23:00,62.57,89.46,101.295,26.64,46.4,5.3542,67.0799,12.5341,10.55,12.4765,86.61,159.34,101.4,65.56,125,164.16,29.3703,23.31,141.155,131.995,72.23,73.24,102.67,25.74,10.24,29.1436
27/4/2020 23:30,62.82,89.41,101.41,26.82,46.5758,5.3938,67.0799,12.6,10.6,12.4765,86.625,159.205,101.555,66.15,125.15,164.68,29.47,23.13,141.315,132.4,72.225,73.29,103.305,25.86,10.24,29.14
28/4/2020 0:00,62.79,89.22,101.43,26.827,46.5701,5.43,67.0799,12.6,10.67,12.511,86.625,158.94,101.409,65.94,124.85,164.57,29.54,23.0037,141.89,131.83,72.01,73.256,103.94,25.95,10.245,29.015
28/4/2020 0:30,63.02,89.3,101.41,26.85,46.8314,5.48,67.2799,12.61,10.71,12.4801,86.6296,159.34,101.64,65.99,126.25,165.17,29.89,23.28,142.19,131.75,72.19,73.57,104.28,26.32,10.385,29.03
28/4/2020 1:00,62.935,89.07,101.315,26.75,46.6725,5.4531,67.2799,12.604,10.64,12.485,86.63,158.87,102.055,65.86,126.355,165.17,29.6124,23.1504,142.78,131.31,72.46,73.77,104.49,26.03,10.285,28.75
28/4/2020 1:30,63.03,89.076,101.38,26.7784,46.988,5.48,67.3699,12.604,10.65,12.485,86.635,158.68,103.085,66.04,127.075,165.63,29.635,23.17,142.915,130.83,72.57,74.01,104.67,26.05,10.28,28.595
28/4/2020 2:00,63.17,89.16,101.52,26.79,47.0857,5.51,67.3699,12.6237,10.64,12.485,86.63,159.45,103.12,66.33,127.42,166.305,29.48,23.06,142.93,131.84,72.53,74.4,105.38,25.8599,10.215,28.423
28/4/2020 2:30,63.34,89.34,101.68,26.86,47.1905,5.55,67.3699,12.6237,10.62,12.475,86.63,160.33,102.98,66.49,128.115,166.81,29.68,22.97,143.29,131.495,72.53,74.46,105.5,25.7865,10.22,28.43
28/4/2020 3:00,63.345,89.375,101.785,26.865,47.2142,5.58,67.3699,12.6915,10.66,12.518,86.62,160.22,103.183,66.35,128.28,166.335,29.7815,22.6301,143.17,131.94,72.58,74.35,105.22,25.685,10.185,28.27
28/4/2020 3:30,63.12,89.39,101.58,26.82,46.85,5.55,67.9167,12.69,10.53,12.51,86.63,158.87,102.69,66.41,127.29,166.88,29.105,22.16,142.6,131.9,72.29,74.04,104.65,25,10.02,27.86
28/4/2020 4:00,63.1,89.39,101.58,26.82,46.85,5.55,67.8758,12.69,10.53,12.51,86.63,158.96,102.55,66.41,127.29,166.87,29.11,22.16,142.6,131.83,72.29,74.04,104.65,25,10.02,27.85
28/4/2020 21:30,64.63,90.02,100.48,27.54,48.2146,5.76,67.8758,13.0814,10.84,12.6,86.65,161.79,97.94,67.18,127.495,171.76,29.38,23.34,145.79,135.395,72.87,74.98,106.3,26.475,10.6275,30.18
28/4/2020 22:00,64.71,89.5,100.04,27.39,47.8574,5.72,68.85,13.0814,10.7701,12.5899,86.66,160.49,97.99,66.92,128.05,171.2,28.98,23.29,145.83,135.32,72.6,75.33,106.99,26.69,10.73,30.54
28/4/2020 22:30,63.68,88.57,99.52,27.06,47.11,5.5904,68.85,12.94,10.49,12.5309,86.6501,159.25,97.23,65.93,126.67,168.305,28.52,22.7561,144.2,133.74,72.08,75.21,106.015,25.97,10.4102,29.54
28/4/2020 23:00,64.01,88.91,100.005,27.14,47.486,5.63,68.85,12.865,10.54,12.57,86.6516,160.56,97.64,66.46,127.43,169.24,29.0501,23.15,144.61,134.42,72.09,74.75,105.88,26.64,10.56,30.31
28/4/2020 23:30,64.04,88.82,99.83,27.0099,47.65,5.67,68.7932,12.865,10.59,12.57,86.665,160.7,97.26,66.52,127.27,168.74,28.8362,23.255,145.26,134.06,71.88,74.56,106.08,26.805,10.705,30.55
29/4/2020 0:00,64.04,88.6,99.83,26.9112,47.625,5.67,68.5,12.865,10.5145,12.61,86.6741,161.35,97.46,66.56,127.725,169.475,28.91,23.59,145.71,133.92,72.035,74.73,105.8,26.895,10.87,31.015
